pathway,pval,padj,log2err,ES,NES,size,collection
ABBUD_LIF_SIGNALING_1_DN,0.5823970037453183,0.6643090083685788,0.06799225915440577,0.3339358908868951,0.9141510375882885,19,C2-CGP
ABBUD_LIF_SIGNALING_1_UP,0.024157135442863603,0.05981994211444288,0.35248785758361917,-0.506781131356539,-1.533189191630707,27,C2-CGP
ABE_INNER_EAR,4.0730088448296864e-7,3.9110634773760726e-6,0.674962860011025,0.7370334708434392,2.2560751496077045,30,C2-CGP
ABE_VEGFA_TARGETS_2HR,0.22954545454545455,0.3365950316506197,0.13649043778041264,-0.3983870835352396,-1.1685347338289682,24,C2-CGP
ABE_VEGFA_TARGETS_30MIN,0.03895737380898982,0.08973086283577987,0.3217759180753611,0.5900327784171182,1.5905412329923707,18,C2-CGP
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN,0.11423220973782772,0.2020225247727567,0.1797823162983236,0.49239039804363127,1.3479209799061471,19,C2-CGP
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP,0.29521829521829523,0.40515720033792324,0.11237851911047504,-0.40126256650117204,-1.1189607557057901,18,C2-CGP
ABRAMSON_INTERACT_WITH_AIRE,5.3434593909195346e-5,3.1509087880939577e-4,0.557332238758646,0.5989710995230193,1.9625699446875193,43,C2-CGP
ACEVEDO_LIVER_CANCER_DN,6.913982205650806e-10,1.117834800474898e-8,0.8012155746177786,0.40553879890179223,1.8301461188037758,403,C2-CGP
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,0.13074204946996468,0.22288406528689217,0.1619789488834018,0.29981655916186284,1.1974188602990101,131,C2-CGP
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,0.22994652406417113,0.3367890060226843,0.11881503941226282,0.2867467281374453,1.122599394266385,112,C2-CGP
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,0.05656934306569343,0.12034191317710334,0.25720646646883816,0.36010308592735485,1.3472376227227314,86,C2-CGP
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,0.926605504587156,0.9443161425357514,0.05547933087042326,-0.21138391642130638,-0.7455804737405557,53,C2-CGP
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,0.09540034071550256,0.17798295454545454,0.1882041463084906,0.2900943925590396,1.2111752180968827,190,C2-CGP
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,3.222547263449274e-5,2.0088814532845473e-4,0.557332238758646,-0.32553554793385037,-1.5250393407762983,396,C2-CGP
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,4.1546058866847333e-10,6.987545202706001e-9,0.8140358378479079,0.4445192561132852,1.9566460907771324,295,C2-CGP
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,8.235751996619722e-7,7.3930532003467525e-6,0.6594443980379349,0.475829946405366,1.9174264726787937,141,C2-CGP
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN,2.215715107272305e-4,0.0011149763170330113,0.5188480777437918,0.4817059867411988,1.8021851347295597,86,C2-CGP
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP,0.027289442399047716,0.06594729281775659,0.35248785758361917,0.38769476224840704,1.423520964922371,80,C2-CGP
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN,2.5284604328610786e-4,0.0012543850511311293,0.49849310876659025,0.5231674733190184,1.829688439971577,60,C2-CGP
AFFAR_YY1_TARGETS_DN,0.2658450704225352,0.37448439936979944,0.10839425585339667,0.26385224899063825,1.0884144408382386,171,C2-CGP
AFFAR_YY1_TARGETS_UP,0.11312217194570136,0.20048384928990637,0.19991523130966152,-0.2947630663442904,-1.1958480586899476,115,C2-CGP
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN,0.14833333333333334,0.24423346473937804,0.14641623786055022,0.27452224411382403,1.1636127920847603,215,C2-CGP
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP,2.749866432651374e-5,1.7401932525819047e-4,0.5756102610711286,0.37020278762338077,1.6214910109145901,281,C2-CGP
AIGNER_ZEB1_TARGETS,0.8066666666666666,0.8468817204301075,0.060509298865666666,-0.2664965248992579,-0.7674045629309172,22,C2-CGP
AIYAR_COBRA1_TARGETS_DN,0.010662114887353235,0.030571235592342344,0.3807304007227924,0.5590311759325803,1.6499760739279055,25,C2-CGP
AIYAR_COBRA1_TARGETS_UP,0.2332730560578662,0.339873417721519,0.11881503941226282,0.3745182238909542,1.169103670146127,33,C2-CGP
AKL_HTLV1_INFECTION_DN,0.06545454545454546,0.13281707765918294,0.2377938344236881,0.4278242389148516,1.3921292412215642,41,C2-CGP
