pathway,pval,padj,log2err,ES,NES,size,collection
BIOCARTA_41BB_PATHWAY,0.11206896551724138,0.22381573229030857,0.19578900214894943,-0.5214776834387517,-1.4050877429007478,15,C2-CP-Biocarta
BIOCARTA_AGR_PATHWAY,0.16236162361623616,0.28833184883572976,0.1473312136993771,0.4269290874707602,1.2506405352324363,24,C2-CP-Biocarta
BIOCARTA_AKT_PATHWAY,0.9605263157894737,0.9605263157894737,0.04468543976441472,0.22282901540415395,0.6108414775251175,19,C2-CP-Biocarta
BIOCARTA_ALK_PATHWAY,0.0734341252699784,0.17193117616846432,0.24504178543099617,-0.4718516542628047,-1.4155417014623148,26,C2-CP-Biocarta
BIOCARTA_ARAP_PATHWAY,0.6301115241635687,0.705450945530952,0.06378453903129748,0.3423266199849544,0.8911114420895213,15,C2-CP-Biocarta
BIOCARTA_ARENRF2_PATHWAY,0.7236842105263158,0.7735069321009598,0.05773085492998127,0.3175474839546324,0.8473739161369375,17,C2-CP-Biocarta
BIOCARTA_AT1R_PATHWAY,0.046992481203007516,0.13982873851294902,0.2878571172551493,0.5063756086151732,1.4916648827880534,25,C2-CP-Biocarta
BIOCARTA_ATM_PATHWAY,0.013046330637981206,0.06718860278560322,0.3807304007227924,-0.5708732649515981,-1.6272041745383297,20,C2-CP-Biocarta
BIOCARTA_ATRBRCA_PATHWAY,0.048838607373808,0.13982873851294902,0.3217759180753611,-0.5279042715406993,-1.5496354723784318,22,C2-CP-Biocarta
BIOCARTA_BAD_PATHWAY,0.31954887218045114,0.4561289560699103,0.10099058745592349,0.41403948092909004,1.104862340651746,17,C2-CP-Biocarta
BIOCARTA_BCR_PATHWAY,0.018180552562873493,0.08917128161790333,0.35248785758361917,0.526449565791026,1.570948882285148,26,C2-CP-Biocarta
BIOCARTA_BIOPEPTIDES_PATHWAY,0.003411684112704468,0.025100247400611442,0.4317076958033464,0.5909151953686815,1.7406988619532258,25,C2-CP-Biocarta
BIOCARTA_CALCINEURIN_PATHWAY,0.14152700186219738,0.2603085927108273,0.1596467019199062,0.49216183422940657,1.3054404276607796,16,C2-CP-Biocarta
BIOCARTA_CARM_ER_PATHWAY,0.06896551724137931,0.17193117616846432,0.2529611230696109,-0.49707143273105464,-1.4284639819485294,21,C2-CP-Biocarta
BIOCARTA_CASPASE_PATHWAY,0.2723404255319149,0.41867259447443633,0.11934844059101546,-0.3986511658637781,-1.1373892574028792,19,C2-CP-Biocarta
BIOCARTA_CELLCYCLE_PATHWAY,0.8446808510638298,0.8614072045502423,0.05629407497009682,-0.25834036635588875,-0.7370693543816628,19,C2-CP-Biocarta
BIOCARTA_CERAMIDE_PATHWAY,0.08189655172413793,0.1794754218635363,0.23112670967383428,-0.4850548692786789,-1.393931263010716,21,C2-CP-Biocarta
BIOCARTA_CHEMICAL_PATHWAY,0.38533834586466165,0.5088442259494891,0.08998607949971373,0.39835232408791305,1.063001238935501,17,C2-CP-Biocarta
BIOCARTA_CHREBP_PATHWAY,0.30111524163568776,0.4439655172413793,0.10395847155995677,0.4357379460397428,1.1342707426190433,15,C2-CP-Biocarta
BIOCARTA_CREB_PATHWAY,0.2800751879699248,0.4242315347191508,0.10925003948071095,0.41362058491850295,1.1338586618451292,19,C2-CP-Biocarta
BIOCARTA_CTCF_PATHWAY,0.3970276008492569,0.5176435808540945,0.09528798461948437,-0.3639796090271909,-1.0256230043471632,18,C2-CP-Biocarta
BIOCARTA_CXCR4_PATHWAY,0.38362068965517243,0.5088442259494891,0.09821233512174378,-0.3911353476705056,-1.0538887861950068,15,C2-CP-Biocarta
BIOCARTA_DEATH_PATHWAY,0.0030514145446492525,0.02417659216145177,0.4317076958033464,-0.5814993455637666,-1.7892097261228408,28,C2-CP-Biocarta
BIOCARTA_ECM_PATHWAY,6.559286396383203e-4,0.00853113009443926,0.47727081536286214,0.7057796399662712,1.8833695357932076,17,C2-CP-Biocarta
BIOCARTA_EDG1_PATHWAY,0.04666877987870653,0.13982873851294902,0.3217759180753611,0.5825433799199546,1.5164204039492755,15,C2-CP-Biocarta
BIOCARTA_EFP_PATHWAY,0.6163793103448276,0.6976600985221675,0.0721797965581253,-0.32176985406111513,-0.8669879696382766,15,C2-CP-Biocarta
BIOCARTA_EGF_PATHWAY,0.6466165413533834,0.7136492109601946,0.0630790410571939,0.29849415896077547,0.8792944349290722,25,C2-CP-Biocarta
BIOCARTA_EIF4_PATHWAY,0.030069483848129182,0.12388627345429223,0.35248785758361917,0.538691285254568,1.5482509598787535,23,C2-CP-Biocarta
BIOCARTA_EIF_PATHWAY,0.02186999247679506,0.09420959142398845,0.35248785758361917,0.5973419868924016,1.5844267567994281,16,C2-CP-Biocarta
BIOCARTA_EPO_PATHWAY,0.3559322033898305,0.4823818019625335,0.09466462231533423,0.3992098717437796,1.0777149781477695,18,C2-CP-Biocarta
BIOCARTA_ERAD_PATHWAY,0.009602424639334152,0.054947207658412094,0.3807304007227924,0.6270906170309067,1.6929064095486401,18,C2-CP-Biocarta
BIOCARTA_ERK_PATHWAY,0.021951749458016725,0.09420959142398845,0.35248785758361917,0.5499874211969003,1.5807171493166834,23,C2-CP-Biocarta
BIOCARTA_ETS_PATHWAY,0.35053763440860214,0.4814050179211469,0.1035763266125924,-0.39369218689973673,-1.0735833660944614,16,C2-CP-Biocarta
BIOCARTA_FAS_PATHWAY,0.5441176470588235,0.6593425605536332,0.07045008506584192,0.31228349282213674,0.9433015490630698,27,C2-CP-Biocarta
BIOCARTA_FCER1_PATHWAY,0.12030075187969924,0.23379202723790607,0.17520404755855126,0.42522617382822436,1.289032870766236,29,C2-CP-Biocarta
BIOCARTA_FMLP_PATHWAY,0.0050038405727512595,0.03221222368708623,0.40701791892395395,0.5761448016608868,1.7403362533827285,27,C2-CP-Biocarta
BIOCARTA_G1_PATHWAY,0.6512915129151291,0.7136492109601946,0.061840603575328466,0.29873070856833184,0.875097865707853,24,C2-CP-Biocarta
BIOCARTA_G2_PATHWAY,0.044777129362111735,0.13982873851294902,0.3217759180753611,-0.5092599464022423,-1.5052523246435032,24,C2-CP-Biocarta
BIOCARTA_GH_PATHWAY,0.491588785046729,0.6100439139736517,0.0764767053228531,0.33452316271443283,0.9614519892029479,23,C2-CP-Biocarta
BIOCARTA_GLEEVEC_PATHWAY,0.6704331450094162,0.7268906730102092,0.06143641072012707,0.3064701834410105,0.873288881519463,22,C2-CP-Biocarta
BIOCARTA_GPCR_PATHWAY,0.07792207792207792,0.17627197039777986,0.21925034670375515,0.4702756408336244,1.4033233957054343,26,C2-CP-Biocarta
BIOCARTA_GSK3_PATHWAY,0.7872340425531915,0.8112218045112782,0.059603704257597284,-0.2758504199033098,-0.7703683998823991,17,C2-CP-Biocarta
BIOCARTA_HCMV_PATHWAY,0.728448275862069,0.7735069321009598,0.06392719333599958,-0.29924184817462535,-0.8062877211935693,15,C2-CP-Biocarta
BIOCARTA_HDAC_PATHWAY,0.20488721804511278,0.34571971722212325,0.13077713797197438,0.44128774001209187,1.209702671053857,19,C2-CP-Biocarta
BIOCARTA_HER2_PATHWAY,0.5800376647834274,0.6819340016708437,0.06847149044920875,0.34338356937540876,0.927005172365175,18,C2-CP-Biocarta
BIOCARTA_HIVNEF_PATHWAY,0.0022203400030170344,0.019057918359229545,0.4317076958033464,-0.4665151482625827,-1.6241590630120102,54,C2-CP-Biocarta
BIOCARTA_IGF1MTOR_PATHWAY,0.2297551789077213,0.37563148297611576,0.12267918956880833,0.4385704090420007,1.1839734742339145,18,C2-CP-Biocarta
BIOCARTA_IGF1R_PATHWAY,0.15985130111524162,0.28833184883572976,0.14920754243532175,0.43846742249245707,1.243258165305054,21,C2-CP-Biocarta
BIOCARTA_IGF1_PATHWAY,0.5958646616541353,0.6819340016708437,0.06705125798294667,0.33530914403176415,0.9191834043540229,19,C2-CP-Biocarta
BIOCARTA_IL1R_PATHWAY,0.04673813742937783,0.13982873851294902,0.3217759180753611,-0.5061318295232671,-1.496006348718833,24,C2-CP-Biocarta
BIOCARTA_IL2RB_PATHWAY,0.04604051565377532,0.13982873851294902,0.2878571172551493,0.4739097213263252,1.4565957073070268,30,C2-CP-Biocarta
BIOCARTA_IL2_PATHWAY,0.18435754189944134,0.3218445222990247,0.13802224249664274,0.47026698827214874,1.2473651867905444,16,C2-CP-Biocarta
BIOCARTA_IL6_PATHWAY,0.24953445065176907,0.39015151515151514,0.11623414877971643,0.41940565426491777,1.1683169752026714,20,C2-CP-Biocarta
BIOCARTA_INSULIN_PATHWAY,0.7593984962406015,0.7981433174773669,0.05547933087042326,0.29968835849563225,0.8215360973907372,19,C2-CP-Biocarta
BIOCARTA_INTEGRIN_PATHWAY,0.0041946115232614906,0.028802999126395567,0.40701791892395395,0.5449544507144811,1.6749568068935883,30,C2-CP-Biocarta
BIOCARTA_KERATINOCYTE_PATHWAY,7.454385519412945e-4,0.00853113009443926,0.47727081536286214,-0.5484815271638642,-1.8132851990843024,40,C2-CP-Biocarta
BIOCARTA_LIS1_PATHWAY,0.4051724137931034,0.5216594827586207,0.09497515259055948,-0.3819770389532354,-1.029212318278909,15,C2-CP-Biocarta
BIOCARTA_MAL_PATHWAY,8.891858739106685e-4,0.009158614501279886,0.47727081536286214,0.7027424449538832,1.8971376018303219,18,C2-CP-Biocarta
BIOCARTA_MAPK_PATHWAY,0.1252847380410023,0.23896903737450437,0.19002330527910832,-0.3244740520092902,-1.2283397375410274,76,C2-CP-Biocarta
BIOCARTA_MCM_PATHWAY,0.7875939849624061,0.8112218045112782,0.053787280776029955,0.2962102043560948,0.7904354893292329,17,C2-CP-Biocarta
BIOCARTA_MEF2D_PATHWAY,0.0019387516491821792,0.018153765442342224,0.45505986738722953,0.6917870559168078,1.8349386874750677,16,C2-CP-Biocarta
BIOCARTA_MET_PATHWAY,0.20810313075506445,0.34571971722212325,0.1281429168984153,0.38610781213835155,1.1867302070623085,30,C2-CP-Biocarta
BIOCARTA_MITOCHONDRIA_PATHWAY,0.07872340425531915,0.17627197039777986,0.2343926472946861,-0.5039611530718645,-1.437848552155428,19,C2-CP-Biocarta
BIOCARTA_MPR_PATHWAY,0.24858757062146894,0.39015151515151514,0.11724971674979229,0.4332183467704471,1.1695249395600655,18,C2-CP-Biocarta
BIOCARTA_MTOR_PATHWAY,0.035958647079828245,0.13982873851294902,0.3217759180753611,0.5459892471064509,1.5558000898283866,22,C2-CP-Biocarta
BIOCARTA_NDKDYNAMIN_PATHWAY,9.346083814175739e-5,0.0029637220053004257,0.5384340963099162,0.7465550244420405,1.9921784509038631,17,C2-CP-Biocarta
