pathway,pval,padj,log2err,ES,NES,size,collection
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,3.168755552506065e-9,3.336513199403445e-8,0.7749390301364363,0.8963987524266478,2.383383640442916,17,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT,5.58498438158359e-5,3.8450469396287027e-4,0.557332238758646,0.7898317577582408,2.0297100685176312,15,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY,0.15151515151515152,0.26331273904089436,0.1608014010700223,0.4911786844345396,1.3059670574578925,17,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY,0.008045182598689086,0.025154196696630868,0.3807304007227924,0.653830635112788,1.7384330747110657,17,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT,1.3491423718907657e-4,8.049882818948235e-4,0.5188480777437918,0.7731331998554524,1.9867981055937645,15,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY,0.010150409093986469,0.029785626685632425,0.3807304007227924,0.6423592369308152,1.7079324267729619,17,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY,0.30522088353413657,0.43360744565563847,0.10797236031734525,0.4457092381582851,1.1453838357789878,15,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY,0.5992217898832685,0.6708553791887125,0.06847149044920875,0.3183149338035506,0.8984466098020635,21,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY,0.1138996138996139,0.21922613858097728,0.18302393838448722,0.4344866151029996,1.3095005461144575,28,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY,0.5349716446124764,0.6383994959042218,0.072714107793444685,0.32895553122591176,0.9732610407703653,26,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY,0.0031070161494146497,0.011350120219290251,0.4317076958033464,0.6413881431587276,1.7931970886151296,20,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY,5.566126374409678e-4,0.002846676060055235,0.47727081536286214,-0.7292551758265722,-1.9282156947501699,15,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY,0.21887550200803213,0.34367293736348903,0.13077713797197438,0.4767331846688359,1.2251091899181306,15,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING,0.5763052208835341,0.6655395776655006,0.07200331366198796,0.35889189861510223,0.9222805907374667,15,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY,0.00893518484856994,0.026656634798233655,0.3807304007227924,0.5564808501767071,1.646426583536644,26,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY,0.030072534772501148,0.07373950307229733,0.35248785758361917,0.5980233663597274,1.5900503030887567,17,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY,0.23232323232323232,0.3616161616161616,0.12687572992985735,0.43946280282930006,1.2022082748736918,19,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,8.268533372494992e-5,5.285955263130727e-4,0.5384340963099162,0.7319363314028673,2.046352294664181,20,C2-CP-KEGG_MEDICUS
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.002490555701070568,0.00969151022807895,0.4317076958033464,0.6084216480917306,1.8202964991540047,27,C2-CP-KEGG_MEDICUS
