pathway,pval,padj,log2err,ES,NES,size,collection
PID_A6B1_A6B4_INTEGRIN_PATHWAY,0.009671375620688573,0.08856943989472692,0.3807304007227924,0.4993317232469157,1.6345116691528334,41,C2-CP-PID
PID_AJDISS_2PATHWAY,0.40397350993377484,0.5195366795366796,0.09656295543094219,-0.3048947685222604,-1.017141005486891,39,C2-CP-PID
PID_ALK1_PATHWAY,0.11666666666666667,0.26710526315789473,0.17669426893849804,0.47161068146353796,1.3249479677834903,21,C2-CP-PID
PID_ALPHA_SYNUCLEIN_PATHWAY,0.04954128440366973,0.20574923547400614,0.27650059925447157,0.5106272804983819,1.4553871154627767,22,C2-CP-PID
PID_AMB2_NEUTROPHILS_PATHWAY,0.07434944237918216,0.22696145568381923,0.22496609354031374,0.4708507986546941,1.3940370702319431,26,C2-CP-PID
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,0.6509090909090909,0.6864132231404958,0.06116926267466889,0.27350350902140563,0.8783911116950538,38,C2-CP-PID
PID_AP1_PATHWAY,0.17647058823529413,0.3337595907928389,0.13802224249664274,0.3454866978937926,1.1824272861684364,52,C2-CP-PID
PID_ARF6_DOWNSTREAM_PATHWAY,0.13333333333333333,0.2795180722891566,0.16693384871319314,0.5214652721463928,1.3429347836213492,15,C2-CP-PID
PID_ARF6_PATHWAY,0.0069990823073874334,0.0716376659697302,0.40701791892395395,-0.5630447447279785,-1.7102121223184408,25,C2-CP-PID
PID_ARF6_TRAFFICKING_PATHWAY,0.40860215053763443,0.5195366795366796,0.08407455779107234,0.32508525972540514,1.0304231529407335,35,C2-CP-PID
PID_ARF_3PATHWAY,0.052336448598130844,0.20574923547400614,0.27128855468895297,0.5307717958281445,1.446495638672681,19,C2-CP-PID
PID_AR_NONGENOMIC_PATHWAY,0.0064423555035607325,0.07006061610122297,0.40701791892395395,0.5571964545186135,1.6772665679343899,27,C2-CP-PID
PID_AR_PATHWAY,0.15808170515097691,0.31616341030195383,0.14641623786055022,0.3491003107361043,1.2041129448109524,53,C2-CP-PID
PID_AR_TF_PATHWAY,0.38235294117647056,0.5040106951871657,0.10135074379709887,-0.3068768286237279,-1.0384631521877739,44,C2-CP-PID
PID_ATF2_PATHWAY,0.37193763919821826,0.4978242247729998,0.10208010766274725,-0.3087763663372686,-1.0478597927385171,43,C2-CP-PID
PID_ATM_PATHWAY,0.062360801781737196,0.20988420181968567,0.27128855468895297,-0.4281533058295342,-1.376914938654088,34,C2-CP-PID
PID_ATR_PATHWAY,0.2743362831858407,0.41530054644808745,0.12154328203546907,-0.3383034191865065,-1.117581418943257,38,C2-CP-PID
PID_AURORA_A_PATHWAY,0.22972972972972974,0.38540521978021974,0.13574094381042484,-0.3715917848860587,-1.1636243090263645,30,C2-CP-PID
PID_AURORA_B_PATHWAY,0.4228187919463087,0.521776381550764,0.09466462231533423,-0.3145133921588669,-1.0239983204427379,36,C2-CP-PID
PID_AVB3_INTEGRIN_PATHWAY,0.03186704013309318,0.1584247138045204,0.3217759180753611,0.43505088073490106,1.4816483002018614,51,C2-CP-PID
PID_AVB3_OPN_PATHWAY,0.24304267161410018,0.39490822972172884,0.11776578836269024,0.4046373880370556,1.1927937043179822,25,C2-CP-PID
PID_BARD1_PATHWAY,0.3113879003558719,0.4515124555160142,0.09923333437711905,0.3646075627300651,1.1143666536104648,29,C2-CP-PID
PID_BCR_5PATHWAY,0.7110091743119266,0.7408119540735043,0.06815134386794833,-0.24896332607244415,-0.8645729637917118,49,C2-CP-PID
PID_BETA_CATENIN_DEG_PATHWAY,0.6092436974789915,0.6543728602552132,0.07147862874255066,-0.3273138825772957,-0.9016752861403823,17,C2-CP-PID
PID_BETA_CATENIN_NUC_PATHWAY,0.012362393667113943,0.10286465248341306,0.3807304007227924,0.44907920634038545,1.5696758407353661,55,C2-CP-PID
PID_BMP_PATHWAY,0.013005875601351077,0.10286465248341306,0.3807304007227924,-0.5084237707231523,-1.6150736865209714,32,C2-CP-PID
PID_CASPASE_PATHWAY,0.3667262969588551,0.49465407496775804,0.08998607949971373,0.31681239664080885,1.0619750935155365,47,C2-CP-PID
PID_CD40_PATHWAY,2.6657473562282323e-4,0.01159600099959281,0.49849310876659025,-0.6420234306331042,-1.973810930199683,26,C2-CP-PID
PID_CD8_TCR_DOWNSTREAM_PATHWAY,0.05913978494623656,0.20580645161290323,0.24891111443470243,0.44305499072888,1.4043519563409546,35,C2-CP-PID
PID_CD8_TCR_PATHWAY,0.34684684684684686,0.4797963728921412,0.10714023727672473,-0.3332213634024841,-1.0759183117602948,35,C2-CP-PID
PID_CDC42_PATHWAY,0.10233393177737882,0.2550842170929507,0.18643255843407516,0.35336260077440823,1.2707484950314072,66,C2-CP-PID
PID_CDC42_REG_PATHWAY,0.07882882882882883,0.23242258652094716,0.24133997681509095,-0.44540714402059683,-1.3782306432542935,28,C2-CP-PID
PID_CERAMIDE_PATHWAY,0.34743875278396436,0.4797963728921412,0.1063232559327084,-0.31341436137389134,-1.063599237358088,43,C2-CP-PID
PID_CIRCADIAN_PATHWAY,0.49714285714285716,0.580556088207095,0.07687367341265418,0.3819608913326522,0.9836677423259571,15,C2-CP-PID
PID_CMYB_PATHWAY,0.31910112359550563,0.4588726901290742,0.11237851911047504,-0.29362279148680653,-1.0657083038960504,59,C2-CP-PID
