pathway,pval,padj,log2err,ES,NES,size,collection
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,8.924477049016032e-11,9.56058339187143e-10,0.8390889356212738,0.6618508233377945,2.416436900315066,74,C2-CP-Reactome
REACTOME_ABC_TRANSPORTER_DISORDERS,5.62642982938968e-12,6.745017664518342e-11,0.8870749883998732,0.7331590931041267,2.520837133037519,54,C2-CP-Reactome
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.35424354243542433,0.44425891695379993,0.09374654224917187,0.38916145933149277,1.0783962157543,20,C2-CP-Reactome
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.7526881720430108,0.783013418643917,0.06224904294985801,-0.294085041332419,-0.7948603127943018,16,C2-CP-Reactome
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.009118788569007807,0.020005708254882053,0.3807304007227924,0.5802837581533371,1.6715985115864678,23,C2-CP-Reactome
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.25,0.344391244870041,0.1147507192270233,0.3943671658055446,1.1582450410012144,25,C2-CP-Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,1.2679022995281917e-10,1.3299766829425928e-9,0.826657301178302,0.710012213034662,2.4412507031045196,54,C2-CP-Reactome
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.1657250470809793,0.25095507129405437,0.1473312136993771,0.4581830725937723,1.2750400412411425,21,C2-CP-Reactome
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,8.891858739106685e-4,0.002558314785794409,0.47727081536286214,0.6601041145302042,1.8369495246723337,21,C2-CP-Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,6.697546208778315e-5,2.4525196480871864e-4,0.5384340963099162,0.4636164140160959,1.7854399787539978,102,C2-CP-Reactome
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,3.2630173278432875e-9,2.4892867038925688e-8,0.7749390301364363,0.6636856299429057,2.3641635065276665,63,C2-CP-Reactome
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.2654462242562929,0.36171089015708646,0.12625398784911535,-0.34609683412293873,-1.1361098146752118,36,C2-CP-Reactome
