pathway,pval,padj,log2err,ES,NES,size,collection
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,0.008278590676014377,0.039989399213736114,0.3807304007227924,0.6407684308978857,1.718252730754874,17,C5-GO-BP
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,0.15176715176715178,0.2961353245740942,0.16318012718068908,-0.44242358877573706,-1.2751698772183844,21,C5-GO-BP
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,0.6206225680933852,0.7025404443452326,0.06674261342419166,0.31110153582584943,0.8867955907152679,22,C5-GO-BP
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,0.02913858632160188,0.09718643572740628,0.35248785758361917,0.5466681526126312,1.5641738553675884,23,C5-GO-BP
GOBP_ACETYL_COA_METABOLIC_PROCESS,0.0017038652684313524,0.01293091429450611,0.45505986738722953,0.5474398823812291,1.7340303888696256,38,C5-GO-BP
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,0.17579908675799086,0.3252815243150056,0.15851410542482433,-0.3363015741370546,-1.1901739856613214,51,C5-GO-BP
GOBP_ACID_SECRETION,0.6481835564053537,0.7271248303753084,0.06378453903129748,0.3330372084935014,0.8752734546664875,16,C5-GO-BP
GOBP_ACROSOME_ASSEMBLY,0.0237447616807447,0.08403294984616858,0.35248785758361917,-0.5535602254699126,-1.5831934096836406,20,C5-GO-BP
GOBP_ACROSOME_REACTION,0.9673704414587332,0.9740339695071162,0.0453152441270267,0.2136358334305377,0.587182537759594,19,C5-GO-BP
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.17277486910994763,0.3217584766829074,0.13802224249664274,0.3127687216896782,1.1839611639523366,89,C5-GO-BP
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,9.530383085251528e-4,0.008659769711517738,0.47727081536286214,0.40433716517896573,1.616484378258688,133,C5-GO-BP
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.0055052278636741284,0.0299491522292434,0.40701791892395395,0.4763036444709424,1.5996215664021252,49,C5-GO-BP
GOBP_ACTIN_FILAMENT_ORGANIZATION,3.4216673693883484e-6,1.1052068799431112e-4,0.6272567397185284,0.3686885652112266,1.6540546251954509,353,C5-GO-BP
GOBP_ACTIN_FILAMENT_POLYMERIZATION,0.014498927809733832,0.059445604019908706,0.3807304007227924,0.3622124770462373,1.432221353014439,121,C5-GO-BP
