pathway,pval,padj,log2err,ES,NES,size,collection
HALLMARK_ADIPOGENESIS,4.5390752127486996e-12,4.5390752127486994e-11,0.8870749883998732,0.531360084045245,2.2294060922463323,181,Hallmark
HALLMARK_ALLOGRAFT_REJECTION,0.0014382855331378976,0.002996428194037287,0.45505986738722953,0.4146848644634118,1.6157276443017758,104,Hallmark
HALLMARK_ANDROGEN_RESPONSE,0.009624217978175925,0.015522932222864393,0.3807304007227924,0.39418824350358495,1.490934306147609,87,Hallmark
HALLMARK_ANGIOGENESIS,0.0028362516851386235,0.0050647351520332565,0.4317076958033464,0.6157090633604618,1.7229472036437639,21,Hallmark
HALLMARK_APICAL_JUNCTION,4.202559094685627e-5,1.4008530315618757e-4,0.557332238758646,0.43279219865744245,1.7736449404456287,143,Hallmark
HALLMARK_APICAL_SURFACE,0.6735966735966736,0.7016632016632017,0.06598161440087301,-0.29173542274864583,-0.8769850789542089,26,Hallmark
HALLMARK_APOPTOSIS,1.871282273406797e-5,7.197239513103066e-5,0.5756102610711286,0.45021500573454454,1.8304635859879217,133,Hallmark
HALLMARK_BILE_ACID_METABOLISM,0.081374321880651,0.11301989150090416,0.2114001893849227,0.350565018636505,1.2893693237018287,71,Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0962566844919786,0.12340600575894695,0.19189224038483796,0.3501537375404702,1.2830973893055877,68,Hallmark
HALLMARK_COAGULATION,1.0077265561806902e-4,3.1491454880646567e-4,0.5384340963099162,0.5029174596229917,1.8628307703777132,77,Hallmark
HALLMARK_COMPLEMENT,1.4509742589913043e-4,4.2675713499744247e-4,0.5188480777437918,0.42937552827052117,1.7345548242753746,130,Hallmark
HALLMARK_DNA_REPAIR,1.3499285128225265e-6,7.499602849014036e-6,0.6435518361507222,0.4647501395714713,1.911077633712713,146,Hallmark
HALLMARK_E2F_TARGETS,0.0024792743175275174,0.004591248736162069,0.4317076958033464,0.3480240460034228,1.480004487705611,199,Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7.306231731352142e-6,3.321014423341883e-5,0.610526878385931,0.47391955671867514,1.912283913223746,129,Hallmark
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.531578947368421,0.5778032036613272,0.06928364673925483,0.23253267220506982,0.9679498665572039,164,Hallmark
